id,attr_time,attr_lat,attr_lng
1,1437067254000,49.44960315,8.8981528
2,1437067265000,49.44959962,8.89814809
3,1437067273000,49.44960302,8.89815119
4,1437067285000,49.44967227,8.89829045
5,1437067295000,49.44967719,8.89834617
6,1437067305000,49.44965212,8.89835992
7,1437067316000,49.44961113,8.89831871
8,1437067326000,49.44960117,8.89830874
9,1437067338000,49.44961375,8.89834088
10,1437067349000,49.4496136,8.89834096
11,1437067366000,49.449582,8.8983101
12,1437067382000,49.4493176,8.8982706
13,1437067397000,49.44869675,8.8987208
14,1437067416000,49.4488086,8.89828241
15,1437067436000,49.44879103,8.89883817
16,1437067449000,49.44876556,8.89902701
17,1437067461000,49.44885593,8.89887206
18,1437067469000,49.44888828,8.89894258
19,1437067481000,49.44896732,8.89899621
20,1437067488000,49.44899685,8.8990795
21,1437067500000,49.44902004,8.89924343
22,1437067510000,49.44902582,8.8993755
23,1437067519000,49.44892955,8.8996255
24,1437067531000,49.44888028,8.89958627
25,1437067540000,49.44890731,8.89957595
26,1437067550000,49.44886768,8.89961522
27,1437067561000,49.44877415,8.89938836
28,1437067571000,49.44871303,8.89940328
29,1437067585000,49.44885783,8.89946508
30,1437067590000,49.4488605,8.89949467
31,1437067617000,49.44874963,8.89973779
32,1437067629000,49.44895786,8.89957492
33,1437067642000,49.44892538,8.89952743
34,1437067664000,49.44886539,8.89962636
35,1437067687000,49.44874524,8.90003782
