id,attr_time,attr_lat,attr_lng
1,1436599559000,49.44876296,8.90007747
2,1436599572000,49.4487636,8.90007471
3,1436599575000,49.44876366,8.90007438
4,1436599598000,49.44876447,8.90006585
5,1436599621000,49.44876786,8.9000544
6,1436599640000,49.44901084,8.89947338
7,1436599644000,49.44898597,8.89945583
8,1436599655000,49.4486841,8.89927063
9,1436599665000,49.44889307,8.89942902
10,1436599675000,49.4488971,8.89937076
11,1436599686000,49.4488352,8.89929751
12,1436599696000,49.44886991,8.89925777
13,1436599706000,49.44889393,8.89929262
14,1436599715000,49.44891603,8.89930901
15,1436599728000,49.44893591,8.89927815
16,1436599740000,49.44894217,8.89926092
17,1436599746000,49.44894204,8.89925562
18,1436599757000,49.44893772,8.89923905
19,1436599767000,49.4489391,8.8991924
20,1436599777000,49.44893921,8.89915238
21,1436599788000,49.44893316,8.8991371
22,1436599798000,49.44892688,8.8991264
23,1436599808000,49.44891586,8.89911763
24,1436599818000,49.44890375,8.89910889
25,1436599829000,49.44889274,8.89909648
26,1436599839000,49.44882665,8.89838313
27,1436599850000,49.44870724,8.89814009
28,1436599860000,49.44866373,8.89820392
29,1436599870000,49.44867967,8.89825682
30,1436599881000,49.44887901,8.89823088
31,1436599891000,49.44900865,8.89824146
32,1436599911000,49.44897492,8.89817141
33,1436599924000,49.44896927,8.89812403
34,1436599943000,49.4491319,8.89814918
35,1436599959000,49.44930542,8.89802992
36,1436599982000,49.44908632,8.89821234
37,1436600003000,49.44902065,8.89834321
38,1436600013000,49.4490645,8.89830327
39,1436600023000,49.44911736,8.89824688
40,1436600034000,49.4491212,8.89821712
41,1436600044000,49.44914091,8.89824524
42,1436600054000,49.44914928,8.89825373
43,1436600064000,49.44915194,8.89825742
44,1436600075000,49.44915189,8.89825186
45,1436600101000,49.44915222,8.89824878
46,1436600111000,49.44915242,8.89824776
47,1436600120000,49.44915263,8.89824628
48,1436600130000,49.44915313,8.89824315
49,1436600141000,49.44915361,8.89823989
50,1436600151000,49.44915375,8.89823919
51,1436600162000,49.44915439,8.8982352
52,1436600173000,49.44915533,8.8982293
53,1436600182000,49.44915576,8.89822977
54,1436600193000,49.44915604,8.89823086
55,1436600203000,49.44915616,8.89823134
56,1436600212000,49.44915607,8.89823078
57,1436600223000,49.44915611,8.8982305
58,1436600235000,49.44915621,8.89823047
59,1436600245000,49.44915634,8.89823033
60,1436600263000,49.44915654,8.89823006
61,1436600275000,49.44915653,8.89823011
62,1436600287000,49.44915659,8.8982301
63,1436600297000,49.44915671,8.89823
64,1436600310000,49.44915686,8.89822988
65,1436600315000,49.44915689,8.89822987
66,1436600331000,49.44915708,8.89822974
67,1436600335000,49.44915717,8.89822965
68,1436600347000,49.44915722,8.89822976
69,1436600360000,49.44915729,8.89822982
70,1436600372000,49.44915743,8.89822931
71,1436600375000,49.44915745,8.89822928
72,1436600388000,49.44915774,8.89822998
73,1436600397000,49.44915802,8.89823037
74,1436600408000,49.44915862,8.89823254
75,1436600419000,49.44915893,8.89823317
76,1436600429000,49.4491594,8.89823464
77,1436600439000,49.44915968,8.89823577
78,1436600447000,49.4491717,8.89824344
79,1436600458000,49.44918672,8.89824926
80,1436600468000,49.44925026,8.89825436
81,1436600479000,49.44939305,8.89827009
82,1436600488000,49.44943633,8.89825106
83,1436600499000,49.44944457,8.89825631
84,1436600520000,49.44945091,8.89826137
85,1436600543000,49.44945583,8.89823669
86,1436600549000,49.44945616,8.89823456
87,1436600602000,49.44945902,8.89823559
88,1436600643000,49.4494646,8.8982433
89,1436600655000,49.44964878,8.89819604
90,1436600665000,49.44977717,8.89828781
