id,attr_time,attr_db
1,1436801602719,30.9334159760788
2,1436801603446,30.0229123138341
3,1436801604143,28.5082575552789
4,1436801604875,36.0263593221238
5,1436801605591,32.6529435378036
6,1436801606352,36.0187911398845
7,1436801607093,47.4763156191911
8,1436801607839,37.4932156981628
9,1436801608566,26.6438380343767
10,1436801609219,42.318124425139
11,1436801609966,32.2986217483139
12,1436801610684,68.3148491225492
13,1436801611400,30.8135327612115
14,1436801612145,45.5796139644526
15,1436801612850,41.1958808920449
16,1436801613523,46.6417830703946
17,1436801614293,27.4940742848506
18,1436801615010,37.3126109922047
19,1436801615755,35.1097420073268
20,1436801616502,38.9087506908685
21,1436801617252,41.6839732424813
22,1436801618024,34.5839729704818
23,1436801618743,44.0742413058066
24,1436801619443,33.0805003227185
25,1436801620118,43.284626543227
26,1436801620842,35.4763673420476
27,1436801621618,39.7982568984354
28,1436801622328,38.4837089169929
29,1436801623049,39.5737012803852
30,1436801623841,38.1288104676282
31,1436801624539,39.2537091813696
32,1436801625292,39.0575162146517
33,1436801626035,33.8058925671943
34,1436801626776,40.8957845128361
35,1436801627516,30.3212904755499
36,1436801628259,52.9109729781271
37,1436801629000,42.2726572849951
38,1436801629702,35.2326310278347
39,1436801630348,40.1577223025753
40,1436801631067,38.3393693672322
41,1436801631788,43.2879545659229
42,1436801632599,34.6830799668995
43,1436801633300,39.5604260078903
44,1436801634102,41.3053305183807
45,1436801634836,27.1417370465761
46,1436801635583,37.5246567416858
47,1436801636322,39.4642597373561
48,1436801637062,34.338715791533
49,1436801637855,40.8005877263879
50,1436801638605,35.6983744158987
51,1436801639333,41.6795880379889
52,1436801640067,42.8056533540919
53,1436801640800,32.1483562067536
54,1436801641578,45.4200849993082
55,1436801642311,42.1717042104785
56,1436801643042,56.3919519777538
57,1436801643654,53.0752888465457
58,1436801644346,71.3397513049736
59,1436801645106,50.1971458817628
60,1436801645831,46.6713654558072
61,1436801646539,38.1269820283808
62,1436801648014,42.6471816739756
63,1436801648673,48.9908545958839
64,1436801649414,42.3453677089218
65,1436801650138,35.5108617387475
66,1436801650851,66.6916196168353
67,1436801651613,40.0658418171202
68,1436801652326,37.7169077480273
69,1436801653029,67.2275548160765
70,1436801653786,44.8149438787944
71,1436801654503,45.3729296548686
72,1436801655213,40.9683047341785
73,1436801655950,42.2854503373857
74,1436801656657,45.155462911707
75,1436801658285,48.9512628689859
76,1436801659023,41.8120054754222
77,1436801659785,66.9133188275527
78,1436801660521,42.1182213077583
79,1436801661232,44.2922112249627
80,1436801661931,42.1977848439631
81,1436801662599,41.7127582580499
82,1436801663323,41.1826609841007
83,1436801664076,37.6478067857074
84,1436801664783,34.5910813478282
85,1436801665438,41.674161265913
86,1436801666150,42.6334919051893
87,1436801666876,44.4066227791416
88,1436801667592,43.4028003895249
89,1436801668308,46.3094270482292
90,1436801669053,29.9493551322231
91,1436801669808,50.2660509637783
92,1436801670536,41.5224879694187
93,1436801671267,43.1650965426064
94,1436801673581,58.3947706875214
95,1436801674258,37.2699940048874
96,1436801674984,44.0048050003443
97,1436801675664,44.9089546115865
98,1436801676407,39.5911889655875
99,1436801677124,51.7743682935501
100,1436801677865,51.3704881501632
101,1436801678636,38.8711436791516
102,1436801679374,54.4068248790889
103,1436801680100,39.4197713730954
104,1436801680818,49.2125370585213
105,1436801682426,49.752937811058
106,1436801683121,58.1072556858644
107,1436801683847,41.4384551857293
108,1436801684639,44.7248875807641
109,1436801685333,74.9480291118709
110,1436801685947,47.6973585026844
111,1436801686653,49.2687855837282
112,1436801687390,37.3034552279028
113,1436801688133,44.2839216524765
114,1436801688897,36.4974516859073
115,1436801689633,49.2955916115992
116,1436801690397,43.5864575484596
117,1436801691158,49.4859386904157
118,1436801691899,41.0589078761863
119,1436801692647,45.3703252572833
120,1436801693391,65.6031033240865
121,1436801694071,74.5065780653007
122,1436801694807,50.0371079050445
123,1436801695558,48.1070110755675
124,1436801696275,43.2339088907477
125,1436801697040,38.7677259023977
126,1436801697785,46.2671132512803
127,1436801698512,38.7449336056993
128,1436801699264,46.4801555696581
129,1436801699993,37.8208254724214
130,1436801700690,27.9897115894092
131,1436801701366,29.5883133735391
132,1436801702086,33.8666345180471
133,1436801702819,70.9968880553354
134,1436801703563,68.6601809910655
135,1436801704253,49.8916461559066
136,1436801705004,41.0766439096249
137,1436801705690,32.0996350962986
