,acc_attr_x,acc_attr_y,acc_attr_z,lig_attr_db,mic_attr_db,activity,subject
0,1.5705963,9.466674,-1.0372878,43.1637524632713,43.1637524632713,climbingdown,8
1,1.5658079,9.433155,-1.0773908,41.0665116752681,41.0665116752681,climbingdown,8
2,1.5622166,9.404425,-1.1617863,42.3283212743451,42.3283212743451,climbingdown,8
3,1.5682021,9.43076,-1.1384429,39.5117111779538,39.5117111779538,climbingdown,8
4,1.5316905,9.430161,-1.1773487,38.3121010333448,38.3121010333448,climbingdown,8
5,1.4915876,9.42238,-1.168969,39.5149953231887,39.5149953231887,climbingdown,8
6,1.5107412,9.431957,-1.1312603,45.1462869343347,45.1462869343347,climbingdown,8
7,1.5077485,9.369708,-1.1097125,48.1824732299449,48.1824732299449,climbingdown,8
8,1.4449008,9.375095,-1.0199299,54.0938107006991,54.0938107006991,climbingdown,8
9,1.4562732,9.422979,-1.0366893,63.4409132370109,63.4409132370109,climbingdown,8
10,1.4616601,9.43914,-1.1186907,72.4812995607287,72.4812995607287,climbingdown,8
11,1.483208,9.478644,-1.1659763,69.3436191913301,69.3436191913301,climbingdown,8
12,1.5101427,9.48044,-1.2174516,72.6677693822596,72.6677693822596,climbingdown,8
13,1.5245079,9.475652,-1.2336124,70.9495878640329,70.9495878640329,climbingdown,8
14,1.5346833,9.474455,-1.2551602,72.9212364579587,72.9212364579587,climbingdown,8
15,1.5269021,9.439739,-1.2000936,70.455971232924,70.455971232924,climbingdown,8
16,1.5143325,9.44333,-1.1701661,69.5777428971888,69.5777428971888,climbingdown,8
17,1.5053543,9.454104,-1.1228806,69.7716563366175,69.7716563366175,climbingdown,8
18,1.4885949,9.4972,-1.0259154,74.0701249240482,74.0701249240482,climbingdown,8
19,1.4377182,9.509171,-1.0767922,69.256926424752,69.256926424752,climbingdown,8
20,1.4095862,9.507974,-1.1031284,71.9013265605835,71.9013265605835,climbingdown,8
21,1.423353,9.491813,-1.1558008,71.7390391024021,71.7390391024021,climbingdown,8
22,1.4371196,9.451111,-1.1976994,67.4917374506367,67.4917374506367,climbingdown,8
23,1.4760253,9.420585,-1.1719618,63.0425593141705,63.0425593141705,climbingdown,8
24,1.4981717,9.443929,-1.1504139,62.5647737428263,62.5647737428263,climbingdown,8
25,1.489792,9.437943,-1.0887632,69.9121009070035,69.9121009070035,climbingdown,8
26,1.4760253,9.424176,-1.0767922,70.1987456516413,70.1987456516413,climbingdown,8
27,1.4700398,9.424775,-1.0809821,70.5028140727072,70.5028140727072,climbingdown,8
28,1.4742297,9.436746,-1.0941502,71.5961289857332,71.5961289857332,climbingdown,8
29,1.4676456,9.443929,-1.1390414,69.8983988803742,69.8983988803742,climbingdown,8
30,1.5047557,9.466674,-1.1546037,72.0326762721348,72.0326762721348,climbingdown,8
31,1.5161282,9.455899,-1.1857284,72.1275722346746,72.1275722346746,climbingdown,8
32,1.5652094,9.46847,-1.18094,72.3343184498589,72.3343184498589,climbingdown,8
33,1.5699978,9.469068,-1.2144588,70.0125304710579,70.0125304710579,climbingdown,8
34,1.5496471,9.458294,-1.2336124,72.624238736352,72.624238736352,climbingdown,8
35,1.5023615,9.466075,-1.1366472,64.3435253994568,64.3435253994568,climbingdown,8
36,1.520318,9.461287,-1.0851719,71.9732760145117,71.9732760145117,climbingdown,8
37,1.5029601,9.43076,-1.0564415,72.2628361555867,72.2628361555867,climbingdown,8
38,1.5574282,9.441534,-1.0995371,64.2381408886849,64.2381408886849,climbingdown,8
39,1.6382325,9.464878,-1.2018893,69.3226742642708,69.3226742642708,climbingdown,8
40,1.6843209,9.42238,-1.3000516,73.133842107092,73.133842107092,climbingdown,8
41,1.6370354,9.503185,-1.3838485,65.3093140903799,65.3093140903799,climbingdown,8
42,1.6484078,9.449316,-1.2078748,68.6651660743175,68.6651660743175,climbingdown,8
43,1.553837,9.451111,-1.2479776,72.4978417947374,72.4978417947374,climbingdown,8
44,1.5508442,9.455301,-1.1899183,69.9265377154867,69.9265377154867,climbingdown,8
